aadhaar,name,age,district,income_category,annual_income,livelihood,land_owned,house_type,house_ownership,dependents,is_sole_earner,has_insurance,savings_months,employer_support,family_support,previously_excluded,flood_severity,vulnerability_score,priority_tier,compensation_inr,phone,email
2535 4582 4811,Suresh Kumar,54,"Darbhanga, Bihar",poor,44628,daily_wage,0.0,semi_pucca,rented,6,1,0,0.7,0,0,0,28,88,Critical,100000,6043321819,suresh423@yahoo.com
6574 5552 3547,Vijay Yadav,35,"Alappuzha, Kerala",middle,232124,farmer,3.8,pucca,owned,3,0,0,3.2,0,1,0,20,42,Medium,20000,8120800800,preetishajain6@gmail.com
5803 6925 4150,Murugan Das,67,"Morigaon, Assam",poor,53526,daily_wage,0.0,kutcha,owned,2,0,0,0.8,0,0,0,25,70,High,75000,7863794026,srishtisaluja17@gmail.com
7065 6820 4432,Radha Patel,64,"Darbhanga, Bihar",poor,48965,daily_wage,0.0,semi_pucca,rented,5,0,0,0.9,0,0,0,28,83,Critical,100000,8423511615,radha623@gmail.com
1916 4752 1525,Santosh Mehta,42,"Morigaon, Assam",lower_middle,150010,daily_wage,0.0,semi_pucca,owned,4,0,0,1.1,0,0,0,25,70,High,50000,8940781618,santosh193@yahoo.com
5339 3287 5040,Parvathi Singh,57,"Srikakulam, Andhra Pradesh",poor,67170,daily_wage,0.0,kutcha,rented,6,0,0,0.7,0,0,0,22,82,Critical,100000,8959310341,parvathi245@gmail.com
3504 3621 7916,Anita Devi,60,"Alappuzha, Kerala",middle,333245,salaried_private,0.0,pucca,owned,2,0,0,2.8,0,1,0,20,39,Medium,20000,7164752553,anita264@outlook.com
6573 2827 5808,Siva Rao,49,"Darbhanga, Bihar",poor,60674,farmer,1.0,kutcha,owned,2,1,0,0.0,0,0,0,28,72,High,75000,8192832764,siva146@gmail.com
4258 3504 7126,Rajesh Chaudhary,32,"Araria, Bihar",poor,77164,farmer,0.5,kutcha,owned,3,1,0,0.9,0,0,1,26,80,Critical,100000,7503056413,bhumitulsyan0756@gmail.com
2290 2403 8962,Rekha Menon,26,"Alappuzha, Kerala",lower_middle,82552,daily_wage,0.0,semi_pucca,rented,2,1,0,3.0,0,0,1,20,70,High,50000,8376724238,rekha98@yahoo.com
7537 7118 8177,Prakash Pillai,55,"Alappuzha, Kerala",lower_middle,152063,farmer,1.6,kutcha,owned,1,1,0,2.9,0,0,0,20,64,High,50000,8969653287,prakash267@outlook.com
2104 1514 6413,Anita Reddy,26,"Srikakulam, Andhra Pradesh",poor,52156,daily_wage,0.0,kutcha,rented,3,1,0,0.6,0,1,0,22,77,Critical,100000,6012269166,anita756@outlook.com
2545 2588 8062,Govind Nair,44,"Alappuzha, Kerala",lower_middle,108080,farmer,1.9,semi_pucca,owned,4,0,0,1.7,0,1,0,20,54,High,50000,9848018451,govind402@outlook.com
4116 9786 8350,Rekha Nair,30,"Srikakulam, Andhra Pradesh",poor,33550,farmer,1.0,kutcha,owned,3,1,0,0.4,0,1,0,22,66,High,75000,8627048281,rekha553@gmail.com
3724 7658 8956,Kavitha Reddy,52,"Srikakulam, Andhra Pradesh",lower_middle,89880,farmer,2.2,semi_pucca,owned,0,0,0,0.2,0,0,0,22,48,Medium,30000,8893252880,kavitha710@gmail.com
4111 5861 4566,Nalini Singh,25,"Araria, Bihar",lower_middle,80282,small_business,0.0,kutcha,rented,2,0,0,2.4,0,0,1,26,75,Critical,75000,8701543039,nalini727@yahoo.com
2122 2113 4853,Kavitha Patel,47,"Alappuzha, Kerala",poor,33286,daily_wage,0.0,semi_pucca,rented,5,1,0,0.9,0,1,0,20,75,Critical,100000,6171822782,kavitha561@outlook.com
5351 7484 3144,Babu Reddy,64,"Darbhanga, Bihar",rich,966688,business_owner,8.0,pucca,owned,4,0,1,15.4,0,0,0,28,28,Medium,0,8896383465,babu101@gmail.com
2127 5002 7054,Arvind Jha,40,"Morigaon, Assam",poor,34754,farmer,0.6,kutcha,owned,1,1,0,0.1,0,0,0,25,69,High,75000,9871331509,arvind970@gmail.com
5333 2891 2753,Rajan Singh,57,"Araria, Bihar",middle,364428,salaried_private,0.0,pucca,owned,3,1,0,5.0,0,0,0,26,55,High,35000,7930103105,rajan648@outlook.com
7939 5533 1722,Anita Das,22,"Araria, Bihar",poor,77029,daily_wage,0.0,kutcha,owned,3,1,0,0.9,0,0,1,26,86,Critical,100000,6834738299,anita511@yahoo.com
1590 7049 3426,Lakshmi Iyer,49,"Morigaon, Assam",poor,40589,daily_wage,0.0,semi_pucca,owned,5,0,0,0.4,0,1,1,25,75,Critical,100000,9376311656,lakshmi214@outlook.com
3532 4878 3662,Govind Chaudhary,33,"Araria, Bihar",poor,32614,daily_wage,0.0,kutcha,owned,4,0,0,0.2,0,1,0,26,71,High,75000,9701065133,govind441@outlook.com
7267 1634 8711,Vijay Devi,36,"Srikakulam, Andhra Pradesh",poor,51770,daily_wage,0.0,kutcha,owned,3,0,0,0.7,0,0,1,22,77,Critical,100000,7872624731,vijay749@gmail.com
9346 7548 9785,Pushpa Jha,43,"Araria, Bihar",lower_middle,109831,small_business,0.0,semi_pucca,rented,2,1,0,1.2,0,1,1,26,70,High,50000,9810801326,pushpa637@gmail.com
